Relative Path,Original Size,Scale,Has Alpha,File Type,ICC Profile,Lossless Size,Lossless No Alpha Size,lossy_q75_m0_a100,lossy_q75_m0_a80,lossy_q75_m0_no_alpha,lossy_q75_m4_a100,lossy_q75_m4_a80,lossy_q75_m4_no_alpha,lossy_q75_m6_a100,lossy_q75_m6_a80,lossy_q75_m6_no_alpha,lossy_q50_m0_a100,lossy_q50_m0_a80,lossy_q50_m0_no_alpha,lossy_q50_m4_a100,lossy_q50_m4_a80,lossy_q50_m4_no_alpha,lossy_q50_m6_a100,lossy_q50_m6_a80,lossy_q50_m6_no_alpha,lossy_q25_m0_a100,lossy_q25_m0_a80,lossy_q25_m0_no_alpha,lossy_q25_m4_a100,lossy_q25_m4_a80,lossy_q25_m4_no_alpha,lossy_q25_m6_a100,lossy_q25_m6_a80,lossy_q25_m6_no_alpha
images/bg-disallowed.png,593,17x17,True,PNG,Unknown,740,656,788,788,682,782,782,680,738,782,680,788,788,682,782,782,680,738,782,680,788,788,682,782,782,680,738,782,680
images/news/20150524-ra-map-chooser.png,34180,600x300,False,PNG,None,23036,N/A,N/A,N/A,29064,N/A,N/A,22900,N/A,N/A,22414,N/A,N/A,23812,N/A,N/A,18570,N/A,N/A,17896,N/A,N/A,18202,N/A,N/A,13562,N/A,N/A,12868
images/about/tiberian-sun.jpg,94759,624x351,False,JPG,None,363356,N/A,N/A,N/A,60206,N/A,N/A,56566,N/A,N/A,54120,N/A,N/A,44860,N/A,N/A,41090,N/A,N/A,38384,N/A,N/A,30100,N/A,N/A,25560,N/A,N/A,23208
images/news/20130514-ra-shellmap.png,402317,620x349,False,PNG,None,354958,N/A,N/A,N/A,36002,N/A,N/A,31402,N/A,N/A,28432,N/A,N/A,23978,N/A,N/A,20548,N/A,N/A,17958,N/A,N/A,15230,N/A,N/A,11768,N/A,N/A,10710
images/about/fractured-realms.jpg,73445,624x351,False,JPG,None,287752,N/A,N/A,N/A,41996,N/A,N/A,38932,N/A,N/A,36394,N/A,N/A,29984,N/A,N/A,27428,N/A,N/A,24870,N/A,N/A,20416,N/A,N/A,16932,N/A,N/A,15470
images/news/20150424-cnc-server-browser.png,69033,600x300,False,PNG,None,42756,N/A,N/A,N/A,16274,N/A,N/A,13158,N/A,N/A,12772,N/A,N/A,13762,N/A,N/A,10710,N/A,N/A,10366,N/A,N/A,10958,N/A,N/A,7916,N/A,N/A,7618
images/news/20210321-spotlight-soon.jpg,91388,1200x674,False,JPG,Unknown,211626,N/A,N/A,N/A,24906,N/A,N/A,19476,N/A,N/A,18976,N/A,N/A,20758,N/A,N/A,15652,N/A,N/A,15214,N/A,N/A,15902,N/A,N/A,12044,N/A,N/A,11644
images/news/20150808-d2k-range-circles.png,97939,599x299,False,PNG,None,67158,N/A,N/A,N/A,52074,N/A,N/A,48126,N/A,N/A,45384,N/A,N/A,39312,N/A,N/A,35164,N/A,N/A,32346,N/A,N/A,26634,N/A,N/A,21948,N/A,N/A,19906
images/heroes/red-alert.png,51556,624x351,True,PNG,None,44876,44876,49760,49760,49760,42384,42384,42384,40662,40662,40662,39414,39414,39414,32654,32654,32654,30766,30766,30766,28728,28728,28728,21994,21994,21994,20348,20348,20348
images/about/red-alert.png,51556,624x351,True,PNG,None,44876,44876,49760,49760,49760,42384,42384,42384,40662,40662,40662,39414,39414,39414,32654,32654,32654,30766,30766,30766,28728,28728,28728,21994,21994,21994,20348,20348,20348
images/news/20241116-eva.webp,197562,951x645,False,WEBP,Unknown,194536,N/A,N/A,N/A,71128,N/A,N/A,62152,N/A,N/A,60016,N/A,N/A,60480,N/A,N/A,50160,N/A,N/A,48662,N/A,N/A,46944,N/A,N/A,35462,N/A,N/A,33750
images/news/20160403-d2k-adv-settings.png,37494,600x300,False,PNG,None,22160,N/A,N/A,N/A,25928,N/A,N/A,21156,N/A,N/A,20510,N/A,N/A,23316,N/A,N/A,17658,N/A,N/A,17066,N/A,N/A,18994,N/A,N/A,13590,N/A,N/A,12628
images/news/20151031-scrolling.png,67650,600x300,True,PNG,None,57610,57610,49702,49702,49702,47042,47042,47042,45390,45390,45390,37724,37724,37724,35426,35426,35426,32888,32888,32888,25606,25606,25606,21692,21692,21692,19342,19342,19342
images/heroes/dune-2000.png,98083,624x351,True,PNG,None,88810,88810,68202,68202,68202,64684,64684,64684,62552,62552,62552,50446,50446,50446,48050,48050,48050,44734,44734,44734,33696,33696,33696,28088,28088,28088,24946,24946,24946
images/about/command-and-conquer.png,93374,624x351,True,PNG,None,84054,84054,68434,68434,68434,65624,65624,65624,63522,63522,63522,52170,52170,52170,48854,48854,48854,45714,45714,45714,35436,35436,35436,30512,30512,30512,27036,27036,27036
images/about/dune-2000.png,98083,624x351,True,PNG,None,88810,88810,68202,68202,68202,64684,64684,64684,62552,62552,62552,50446,50446,50446,48050,48050,48050,44734,44734,44734,33696,33696,33696,28088,28088,28088,24946,24946,24946
images/heroes/command-and-conquer.png,93374,624x351,True,PNG,None,84054,84054,68434,68434,68434,65624,65624,65624,63522,63522,63522,52170,52170,52170,48854,48854,48854,45714,45714,45714,35436,35436,35436,30512,30512,30512,27036,27036,27036
